cc_01 ,cc_02,cc_03 ,cc_04 ,cc_05 ,cc_06 ,cc_07 ,cc_08 ,cc_09 ,cc_10 ,cc_11 ,cc_12 ,cc_13 ,cc_14 ,cc_15 ,cc_16 ,cc_17 ,cc_18 ,cc_19 ,cc_20 ,cc_21 ,cc_22 ,cc_23 ,cc_24 
0.678019404,0.507776797,0.310283005,0.195113376,0.173022702,0.159376666,0.578471839,0.579067469,0.583270311,0.608466208,0.615022719,0.491211236,0.552104354,0.581806421,0.533649206,0.47064206,0.534612715,0.573473215,0.299784094,0.590752006,0.453232139,0.288603306,0.608096719,0.644563794
0.674601912,0.506109178,0.309959948,0.195128113,0.173045531,0.159381106,0.574684858,0.575561702,0.580016375,0.604965627,0.611264348,0.489654839,0.549620092,0.578485489,0.531486928,0.468515515,0.531959593,0.570459366,0.299263537,0.588074386,0.451811552,0.288150907,0.604500949,0.640829802
0.670774102,0.504228652,0.309578449,0.195133254,0.173056141,0.159371644,0.570441186,0.571639597,0.576367915,0.601054311,0.607034028,0.487865031,0.546806872,0.574733138,0.529036939,0.466089129,0.528930783,0.567052305,0.298663139,0.585047662,0.450192153,0.287618399,0.600446463,0.636629105
0.666737974,0.502247274,0.309173405,0.195135087,0.173067555,0.159358695,0.565935314,0.567485869,0.572490692,0.596914053,0.602554858,0.485959262,0.543803573,0.570736349,0.526424825,0.463485926,0.525681853,0.563442945,0.29803744,0.58184433,0.448471785,0.287048072,0.596147537,0.632188797
0.662718356,0.500259936,0.308745623,0.195122153,0.17304641,0.159325644,0.561455727,0.563355982,0.568639338,0.592808783,0.598118067,0.484024704,0.540814579,0.56675607,0.523819149,0.460868359,0.522429109,0.55983901,0.297402114,0.578629017,0.446736902,0.286459267,0.591850817,0.627752483
0.658007145,0.497904658,0.308228284,0.195101172,0.17302157,0.159296989,0.556220472,0.558540881,0.564131558,0.588016987,0.592889905,0.481709152,0.537297249,0.562068403,0.520747125,0.457759142,0.518579543,0.555587292,0.296624959,0.574839711,0.444673061,0.285730958,0.586796403,0.622566462
0.653499961,0.495637655,0.307730317,0.195082679,0.173007131,0.15926908,0.551229477,0.553922892,0.559800327,0.583439648,0.587885141,0.47948271,0.533911407,0.557574868,0.517783642,0.454783648,0.514863312,0.551500559,0.295897216,0.571178019,0.442687362,0.285036296,0.581940055,0.617586434
0.648943365,0.493306994,0.30720529,0.195054725,0.172975257,0.159245223,0.546246827,0.549288511,0.555470228,0.578885794,0.58287549,0.477221191,0.530513406,0.553063214,0.514817178,0.451806009,0.511107683,0.547377408,0.295148313,0.567445338,0.440664202,0.284317434,0.577043533,0.612537622
0.643903196,0.490694493,0.306607783,0.195023462,0.172932312,0.15923363,0.540753663,0.544192255,0.550692081,0.573888242,0.57733655,0.474687159,0.526760161,0.548062384,0.511547685,0.448487788,0.506939054,0.542811334,0.294313222,0.563309014,0.438398004,0.283493608,0.571604967,0.606949806
0.639880955,0.488596559,0.306117952,0.194974557,0.172887385,0.159209996,0.536468267,0.540120721,0.546914518,0.569955409,0.57299614,0.47268194,0.523782074,0.544142783,0.508935034,0.445916623,0.503590703,0.539171636,0.293650359,0.559926391,0.436600417,0.282853276,0.567321777,0.602483988
0.635678947,0.486366361,0.305574358,0.194916382,0.172831476,0.15918456,0.532047689,0.535894096,0.543009818,0.565918446,0.568511486,0.470591545,0.520690501,0.540070057,0.506219029,0.443267763,0.50010407,0.535375655,0.29294768,0.556374609,0.434709102,0.282179117,0.562859356,0.597797751
0.633113623,0.484994084,0.305250823,0.194847196,0.172777116,0.159147695,0.52947402,0.533286929,0.540648818,0.56349653,0.565847218,0.469296962,0.518797278,0.537669599,0.504546821,0.441725582,0.497890085,0.533038378,0.292528063,0.554043174,0.433561236,0.281775832,0.560186386,0.594919682
0.631214499,0.483939081,0.305006832,0.194770485,0.172733232,0.159116402,0.527716875,0.531343699,0.538942575,0.561799169,0.563978732,0.46833694,0.517423034,0.535992563,0.503292918,0.440668851,0.496192396,0.531297266,0.292221814,0.552169561,0.432712793,0.281490773,0.55827105,0.592774689
0.630708992,0.483639896,0.304925948,0.194670632,0.172658503,0.159057796,0.527502,0.530808747,0.538552225,0.561437488,0.563642681,0.468051523,0.51704824,0.535714626,0.502956629,0.440551013,0.495597392,0.530814707,0.29215771,0.551386774,0.432498246,0.28142336,0.557871044,0.592176557
0.631650746,0.484072417,0.305021226,0.194548294,0.172573879,0.158982664,0.528952479,0.531719267,0.539550662,0.562546492,0.564950287,0.468481481,0.517736733,0.53692013,0.503553569,0.441428542,0.496119112,0.531629086,0.292333335,0.55166322,0.432931542,0.281588346,0.559061587,0.59317106
0.633267999,0.484911025,0.305202067,0.194428623,0.172473446,0.158892676,0.531111121,0.533317626,0.541171908,0.564246237,0.566955507,0.469213396,0.518897712,0.538792193,0.504598618,0.442750812,0.497202545,0.533046246,0.292640358,0.552512109,0.433682263,0.28186208,0.560966849,0.594911814
0.636410654,0.486576796,0.305556267,0.194284752,0.172345847,0.158782929,0.53500706,0.536449611,0.544239998,0.56743592,0.570677459,0.470688045,0.521168888,0.54222846,0.50664115,0.445122689,0.499478847,0.535844147,0.293217808,0.554513514,0.435119241,0.282367855,0.564541459,0.598328888
0.63959229,0.488280594,0.305925339,0.194149658,0.17221421,0.158661947,0.538865805,0.539640188,0.547333896,0.570603728,0.574368417,0.472159952,0.523453653,0.545669377,0.50871712,0.447494298,0.501838207,0.538667858,0.293806076,0.556635976,0.436597168,0.282902151,0.568148673,0.601823568
0.644031346,0.490689665,0.306479186,0.194026545,0.172076836,0.158528283,0.544105709,0.544115484,0.551630914,0.574969471,0.579417765,0.474215806,0.526637614,0.550384521,0.511629224,0.450728178,0.505223036,0.542607546,0.294637561,0.559751034,0.438665897,0.283658922,0.573113441,0.606696486
0.647940755,0.492811739,0.306935012,0.193888441,0.171923816,0.158379599,0.54867363,0.54804045,0.555376172,0.578748047,0.583812594,0.476006299,0.529422462,0.554507256,0.514174998,0.453546315,0.508201897,0.546072185,0.295348853,0.562536299,0.440488756,0.284316242,0.577482879,0.611020923
